household_id,hh_start,hh_end,end_cause
100002,2009,9999,
620949,2009,2022,new couple
100004,2009,9999,
100005,2009,9999,
620952,2009,9999,
100008,2009,9999,
100012,2009,2017,death last member
620959,2009,9999,
100014,2009,2019,death last member
100016,2009,9999,
620963,2009,9999,
1141910,2009,2023,couple_split
1662857,2009,2012,couple_split
100019,2009,9999,
620966,2009,2012,couple_split
100026,2009,9999,
620973,2009,9999,
100029,2009,9999,
100037,2009,9999,
100039,2009,2023,new couple
620986,2009,2019,new couple
100042,2009,9999,
100044,2009,9999,
100046,2009,2012,divorce
100047,2009,9999,
100049,2009,9999,
100050,2009,9999,
620997,2009,2022,couple_split
100055,2009,2012,divorce
100056,2009,2021,divorce
621003,2009,2010,divorce
100058,2009,2025,divorce
621005,2009,9999,
100061,2009,9999,
100063,2009,9999,
100065,2009,9999,
100068,2009,9999,
100071,2009,2015,death last member
100074,2009,2017,new couple
100078,2009,9999,
621025,2009,9999,
100084,2009,9999,
100087,2009,9999,
100098,2009,2012,divorce
621045,2009,9999,
100099,2009,9999,
100103,2009,9999,
100108,2009,9999,
100109,2009,2020,couple_split
100120,2009,9999,
621067,2009,9999,
100122,2009,9999,
100128,2009,2020,new couple
621075,2009,2015,new couple
100137,2009,2010,death last member
100139,2009,9999,
100141,2009,9999,
621088,2009,9999,
1142035,2009,9999,
100154,2009,2016,couple_split
100159,2009,9999,
100160,2009,2011,divorce
621107,2009,9999,
1142054,2009,2021,divorce
100161,2009,2018,death last member
100168,2009,2021,new couple
621115,2009,2025,new couple
100172,2009,2011,divorce
100174,2009,2019,divorce
621121,2009,9999,
100175,2009,9999,
100180,2009,9999,
621127,2009,9999,
100185,2009,9999,
100194,2009,9999,
100202,2009,9999,
100203,2009,9999,
621150,2009,2025,couple_split
1142097,2009,9999,
100207,2009,2016,new couple
100208,2009,9999,
621155,2009,2020,death last member
1142102,2009,9999,
100209,2009,2010,new couple
100210,2009,2025,death last member
100216,2009,9999,
100217,2009,2021,death last member
100219,2009,9999,
621166,2009,9999,
100221,2009,2012,divorce
100229,2009,2018,new couple
100236,2009,2017,couple_split
100240,2009,9999,
621187,2009,9999,
1142134,2009,9999,
100246,2009,2010,new couple
621193,2009,2015,new couple
1142140,2009,2011,new couple
100253,2009,2022,divorce
621200,2009,9999,
1142147,2009,2018,divorce
100258,2009,2022,new couple
100264,2009,9999,
100267,2009,9999,
100269,2009,2014,divorce
100272,2009,9999,
621219,2009,9999,
1142166,2009,9999,
100273,2009,9999,
100279,2009,2020,couple_split
621226,2009,2015,couple_split
1142173,2009,2019,couple_split
100282,2009,9999,
621229,2009,9999,
1142176,2009,9999,
1663123,2009,9999,
100289,2009,9999,
100290,2009,9999,
100291,2009,9999,
100293,2009,9999,
100296,2009,2016,couple_split
621243,2009,2023,couple_split
100298,2009,2015,death last member
100301,2009,2014,divorce
100308,2009,9999,
100313,2009,9999,
621260,2009,2017,new couple
100323,2009,9999,
100330,2009,2025,death last member
621277,2009,2013,new couple
100335,2009,9999,
621282,2009,2012,new couple
100368,2009,2010,divorce
100370,2009,9999,
621317,2009,2024,divorce
100373,2009,9999,
100378,2009,2016,divorce
621325,2009,9999,
100381,2009,9999,
100386,2009,9999,
100400,2009,2025,death last member
100410,2009,9999,
621357,2009,9999,
100412,2009,9999,
100413,2009,9999,
621360,2009,9999,
100422,2009,9999,
100423,2009,2013,new couple
100426,2009,9999,
100430,2009,9999,
621377,2009,9999,
1142324,2009,9999,
100433,2009,2017,death last member
621380,2009,2012,death last member
1142327,2009,2012,new couple
1663274,2009,2023,death last member
100439,2009,2016,new couple
621386,2009,2011,new couple
1142333,2009,2012,new couple
100442,2009,9999,
621389,2009,9999,
1142336,2009,9999,
100444,2009,2022,death last member
621391,2009,2019,death last member
1142338,2009,2015,new couple
100446,2009,9999,
100452,2009,9999,
621399,2009,9999,
1142346,2009,2021,couple_split
1663293,2009,9999,
100453,2009,9999,
621400,2009,2011,couple_split
100454,2009,9999,
100463,2009,9999,
621410,2009,9999,
100464,2009,9999,
100465,2009,9999,
100467,2009,9999,
621414,2009,9999,
1142361,2009,9999,
100481,2009,9999,
100488,2009,2020,divorce
621435,2009,9999,
100495,2009,2015,death last member
621442,2009,2017,death last member
100499,2009,9999,
100503,2009,2011,death last member
100504,2009,2018,couple_split
621451,2009,9999,
100510,2009,9999,
621457,2009,9999,
1142404,2009,9999,
100514,2009,2017,new couple
100519,2009,2013,new couple
621466,2009,2013,death last member
1142413,2009,2023,death last member
100520,2009,2014,new couple
100521,2009,9999,
621468,2009,9999,
100529,2009,9999,
621476,2009,9999,
1142423,2009,2011,couple_split
1663370,2009,2011,couple_split
100532,2009,2010,divorce
100534,2009,9999,
100537,2009,2024,death last member
621484,2009,9999,
100540,2009,9999,
621487,2009,9999,
100546,2009,9999,
100548,2009,2022,death last member
100549,2009,9999,
100558,2009,9999,
100564,2009,9999,
621511,2009,9999,
100565,2009,9999,
100569,2009,2015,new couple
100581,2009,9999,
100587,2009,2023,new couple
621534,2009,2010,new couple
100589,2009,9999,
621536,2009,9999,
1142483,2009,9999,
100597,2009,9999,
100609,2009,9999,
621556,2009,2016,couple_split
100616,2009,9999,
621563,2009,2015,couple_split
1142510,2009,2024,couple_split
100621,2009,2017,new couple
621568,2009,2014,new couple
100623,2009,9999,
621570,2009,9999,
100630,2009,9999,
100632,2009,9999,
100637,2009,9999,
621584,2009,9999,
100639,2009,9999,
100642,2009,9999,
621589,2009,9999,
1142536,2009,9999,
100646,2009,9999,
621593,2009,2024,death last member
1142540,2009,9999,
100654,2009,9999,
621601,2009,2013,death last member
1142548,2009,2014,new couple
1663495,2009,2019,new couple
100664,2009,2023,couple_split
621611,2009,2013,couple_split
100669,2009,2010,new couple
621616,2009,2015,death last member
100676,2009,2010,new couple
621623,2009,2018,new couple
100681,2009,2010,new couple
621628,2009,2011,death last member
100683,2009,9999,
100690,2009,9999,
