household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620963,25,59,70.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
1141910,26,59,70.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
1662857,27,59,70.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
100019,30,51,54.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
620966,31,51,54.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100029,43,47,50.0,45-49,50-59,0,9.0,126448.0,7.117550297355435e-05,0.000142861577032545,False
100037,45,52,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100044,51,44,55.0,40-44,50-59,0,58.0,47152.0,0.0012300644723447574,0.002035791158600543,False
100050,62,47,48.0,45-49,45-49,0,14.0,128240.0,0.0001091703056768559,0.00018828130844141962,False
620997,63,47,48.0,45-49,45-49,0,14.0,128240.0,0.0001091703056768559,0.00018828130844141962,False
100063,82,51,53.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100068,86,50,45.0,50+,45-49,0,2.0,31920.0,6.265664160401002e-05,6.239359561112277e-06,False
100099,110,50,45.0,50+,45-49,0,2.0,31920.0,6.265664160401002e-05,6.239359561112277e-06,False
100109,121,52,41.0,50+,40-44,0,0.0,6944.0,0.0,5.903826714793473e-06,False
100154,147,47,53.0,45-49,50-59,0,9.0,126448.0,7.117550297355435e-05,0.000142861577032545,False
100159,150,43,39.0,40-44,35-39,0,220.0,25984.0,0.008466748768472906,0.004129590777420926,False
100185,185,41,50.0,40-44,50-59,0,58.0,47152.0,0.0012300644723447574,0.002035791158600543,False
100203,199,51,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
621150,200,51,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
1142097,201,51,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100219,216,90,71.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
621166,217,90,71.0,50+,70+,0,0.0,78624.0,0.0,3.5054803644270817e-07,False
100236,224,46,50.0,45-49,50-59,0,9.0,126448.0,7.117550297355435e-05,0.000142861577032545,False
100240,231,38,47.0,35-39,45-49,0,308.0,27216.0,0.01131687242798354,0.011715331699445218,False
1142134,233,38,47.0,35-39,45-49,0,308.0,27216.0,0.01131687242798354,0.011715331699445218,False
100279,279,32,33.0,30-34,30-34,0,1833.0,67872.0,0.027006718528995756,0.02839381307774196,False
621226,280,32,33.0,30-34,30-34,0,1833.0,67872.0,0.027006718528995756,0.02839381307774196,False
1142173,281,32,33.0,30-34,30-34,0,1833.0,67872.0,0.027006718528995756,0.02839381307774196,False
100282,286,40,42.0,40-44,40-44,0,306.0,143920.0,0.0021261812117843244,0.0025375799794972956,False
621229,287,40,42.0,40-44,40-44,0,306.0,143920.0,0.0021261812117843244,0.0025375799794972956,False
1142176,288,40,42.0,40-44,40-44,0,306.0,143920.0,0.0021261812117843244,0.0025375799794972956,False
1663123,289,40,42.0,40-44,40-44,0,306.0,143920.0,0.0021261812117843244,0.0025375799794972956,False
100296,308,56,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
621243,309,56,52.0,50+,50-59,0,0.0,235312.0,0.0,4.734010000157939e-06,False
100410,351,64,64.0,50+,60-69,0,0.0,138096.0,0.0,4.2097225115102625e-06,False
621357,352,64,64.0,50+,60-69,0,0.0,138096.0,0.0,4.2097225115102625e-06,False
100426,367,50,65.0,50+,60-69,0,0.0,138096.0,0.0,4.2097225115102625e-06,False
100442,392,46,47.0,45-49,45-49,0,14.0,128240.0,0.0001091703056768559,0.00018828130844141962,False
