household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
620963,25,64,75.0,50+,70+,0,0.0,98280.0,0.0,2.8262518301938205e-07,False
1141910,26,64,75.0,50+,70+,0,0.0,98280.0,0.0,2.8262518301938205e-07,False
1662857,27,64,75.0,50+,70+,0,0.0,98280.0,0.0,2.8262518301938205e-07,False
100019,30,56,59.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
620966,31,56,59.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100029,43,52,55.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100050,62,52,53.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
620997,63,52,53.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100063,82,56,58.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100068,86,55,50.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100109,121,57,46.0,50+,45-49,0,2.0,39900.0,5.012531328320802e-05,4.98804536921827e-06,False
100154,147,52,58.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100159,150,48,44.0,45-49,40-44,0,18.0,33460.0,0.0005379557680812911,0.00014262846638209915,False
100185,185,46,55.0,45-49,50-59,0,9.0,158060.0,5.6940402378843475e-05,0.00011440627283306453,False
621150,200,56,57.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
1142097,201,56,57.0,50+,50-59,0,0.0,294140.0,0.0,3.7867169030973623e-06,False
100240,231,43,52.0,40-44,50-59,0,58.0,58940.0,0.000984051577875806,0.0016300578087129417,False
621187,232,43,52.0,40-44,50-59,0,58.0,58940.0,0.000984051577875806,0.0016300578087129417,False
100279,279,37,38.0,35-39,35-39,0,1311.0,96880.0,0.013532204789430223,0.014365399172978278,False
621226,280,37,38.0,35-39,35-39,0,1311.0,96880.0,0.013532204789430223,0.014365399172978278,False
